"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"1","ОЗИНКИ(ГР)","0020271","ОЗИНКИ(ГР)","OZINKI(GR)",NULL,False,"27",False
"2","КАНИСАЙ(ГР)","0020273","КАНИСАЙ(ГР)","KANISAI(GR)",NULL,False,"27",False
"3","ЛОКОТЬ(ГР)","0020274","ЛОКОТЬ(ГР)","LOKOT(GR)",NULL,False,"27",False
"4","КЗЫЛ ТУ(ГР)","0027202","КЗЫЛ ТУ(ГР)","KZYL TU(GR)",NULL,False,"27",False
"5","ОАЗИС (ГР)","0027291","ОАЗИС (ГР)","OAZIS (GR)",NULL,False,"27",False
"6","САРЫАГАШ (ГР)","0027292","САРЫАГАШ(ГР","SARYAGASH(GR",NULL,False,"27",False
"7","ПАХТААРАЛ-СЫРДАРЬИНСКА","0027293","ПАХТ-СЫРДА","PAHT-SYRDA",NULL,False,"27",False
"8","ХОРГОС(ГР)","0027332","ХОРГОС(ГР)","HUOERGS(GR)",NULL,False,"27",False
"9","АЛМАТЫ","2700000","АЛМАТЫ","ALMATY",NULL,False,"27",False
"10","АЛМАТЫ 2","2700001","АЛМАТЫ 2","ALMATY 2",NULL,False,"27",False
"11","АЛМАТЫ 1","2700002","АЛМАТЫ 1","ALMATY 1",NULL,False,"27",False
"12","САРЫЖАЛ","2700003","САРЫЖАЛ","SARYJAL",NULL,False,"27",False
"13","ШАЛАБАЙ","2700004","ШАЛАБАЙ","SHALABAI",NULL,False,"27",False
"14","БУРСАК","2700005","БУРСАК","BURSAK",NULL,False,"27",False
"15","ЕКАША","2700006","ЕКАША","EKASHA",NULL,False,"27",False
"16","АИРТАУ","2700007","АИРТАУ","AIRTAU",NULL,False,"27",False
"17","УЛАН","2700008","УЛАН","ULAN",NULL,False,"27",False
"18","РАЗ'ЕЗД 102","2700009","РЗД 102","RZD 102",NULL,False,"27",False
"19","КУРОЗЕК","2700010","КУРОЗЕК","KUROZEK",NULL,False,"27",False
"20","ЕКПИНДИ","2700011","ЕКПИНДИ","EKPINDI",NULL,False,"27",False
"21","ЖАРСУ","2700012","ЖАРСУ","JARSU",NULL,False,"27",False
"22","ЖИНИШКЕСУ","2700013","ЖИНИШКЕСУ","JINISHKESU",NULL,False,"27",False
"23","ШЕЛЕК","2700014","ШЕЛЕК","SHELEK",NULL,False,"27",False
"24","НУРЛЫ","2700015","НУРЛЫ","NURLY",NULL,False,"27",False
"25","ОРТАКУДЫК","2700016","ОРТАКУДЫК","ORTAKUDYK",NULL,False,"27",False
"26","ШАРЫН","2700017","ШАРЫН","SHARYN",NULL,False,"27",False
"27","ТАСКАРАСУ","2700018","ТАСКАРАСУ","TASKARASU",NULL,False,"27",False
"28","АЙДАРЛЫ","2700019","АЙДАРЛЫ","AIDARLY",NULL,False,"27",False
"29","КЕРИМАГАШ","2700020","КЕРИМАГАШ","KERIMAGASH",NULL,False,"27",False
"30","КУНДЫЗДЫ","2700021","КУНДЫЗДЫ","KUNDYZDY",NULL,False,"27",False
"31","ИИНТАЛ","2700022","ИИНТАЛ","IINTAL",NULL,False,"27",False
"32","АЛТЫНКОЛЬ","2700023","АЛТЫНКОЛЬ","ALTYNKOL",NULL,False,"27",False
"33","ОСТ.ПУНКТ 287 КМ","2700024","ОП 287 КМ","OP 287 KM",NULL,False,"27",False
"34","ЖАНАК","2700025","ЖАНАК","JANAK",NULL,False,"27",False
"35","ШУКЫР","2700026","ШУКЫР","SHUKYR",NULL,False,"27",False
"36","ДОМБАР","2700027","ДОМБАР","DOMBAR",NULL,False,"27",False
"37","КОКАЛА","2700028","КОКАЛА","KOKALA",NULL,False,"27",False
"38","ТАССАЙ","2700029","ТАССАЙ","TASSAI",NULL,False,"27",False
"39","САГЫР","2700030","САГЫР","SAGYR",NULL,False,"27",False
"40","САНКИБАЙ","2700031","САНКИБАЙ","SANKIBAI",NULL,False,"27",False
"41","КУРСАЙ","2700032","КУРСАЙ","KURSAI",NULL,False,"27",False
"42","ТОКСАНБАЙ","2700033","ТОКСАНБАЙ","TOKSANBAI",NULL,False,"27",False
"43","ЖАРКУМ","2700034","ЖАРКУМ","JARKUM",NULL,False,"27",False
"44","САРША","2700035","САРША","SARSHA",NULL,False,"27",False
"45","ТУРЫШ","2700036","ТУРЫШ","TURYSH",NULL,False,"27",False
"46","НОГАЙТЫ","2700037","НОГАЙТЫ","NOGAITY",NULL,False,"27",False
"47","САМ","2700038","САМ","SAM",NULL,False,"27",False
"48","ТЕРЕКТИ","2700039","ТЕРЕКТИ","TEREKTI",NULL,False,"27",False
"49","РАЗ'ЕЗД 142","2700040","РЗД 142","RZD 142",NULL,False,"27",False
"50","КАЙРАТКОЛЬ","2700041","КАЙРАТКОЛЬ","KAIRATKOL",NULL,False,"27",False
"51","САРЫКУМ","2700042","САРЫКУМ","SARYKUM",NULL,False,"27",False
"52","ЖАЙПАК","2700043","ЖАЙПАК","JAIPAK",NULL,False,"27",False
"53","АКШИ","2700044","АКШИ","AKSHI",NULL,False,"27",False
"54","РАЗ'ЕЗД 19","2700045","РЗД 19","RZD 19",NULL,False,"27",False
"55","БАСТАУ","2700046","БАСТАУ","BASTAU",NULL,False,"27",False
"56","САРЫЖИДЕ","2700047","САРЫЖИДЕ","SARYJIDE",NULL,False,"27",False
"57","АККАЙТЫМ","2700048","АККАЙТЫМ","AKKAITYM",NULL,False,"27",False
